PDS4 LID	PDS <Target_Identification> name	Other/provisional names	PDS <type> attribute	COMA objecttype
coma.73p--bj	73P/1930 J1-BJ (Schwassmann-Wachmann 3-BJ)		Comet	
coma.73p--bk	73P/1930 J1-BK (Schwassmann-Wachmann 3-BK)		Comet	
coma.73p--bl	73P/1930 J1-BL (Schwassmann-Wachmann 3-BL)		Comet	
coma.73p--bm	73P/1930 J1-BM (Schwassmann-Wachmann 3-BM)		Comet	
coma.73p--bn	73P/1930 J1-BN (Schwassmann-Wachmann 3-BN)		Comet	
coma.73p--bo	73P/1930 J1-BO (Schwassmann-Wachmann 3-BO)		Comet	
coma.73p--bp	73P/1930 J1-BP (Schwassmann-Wachmann 3-BP)		Comet	
coma.73p--bq	73P/1930 J1-BQ (Schwassmann-Wachmann 3-BQ)		Comet	
coma.73p--br	73P/1930 J1-BR (Schwassmann-Wachmann 3-BR)		Comet	
coma.73p--bs	73P/1930 J1-BS (Schwassmann-Wachmann 3-BS)		Comet	
coma.73p--bt	73P/1930 J1-BT (Schwassmann-Wachmann 3-BT)		Comet	
coma.74p	74P/1975 E2 (Smirnova-Chernykh 1)	1992 XXI, 1984 V, 1975 VII, 1975e, 74P/1967 EU, 1967 XV	Comet	
coma.75d	75D/1975 C1 (Kohoutek 1)	75P/Kohoutek, 1987 XXVII, 1986k, 75D/1980 P1, 1981 IX, 1980j, 1975 III, 1975c	Comet	
coma.76p	76P/1975 D1 (West-Kohoutek-Ikemura 1)	1993 XXI, 1993o, 1987 XV, 1987x, 76P/1980 V2, 1981 VIII, 1980r, 1975 IV, 1975b	Comet	
coma.77p	77P/1975 L1 (Longmore 1)	1994q, 1988 XVIII, 1987c1, 77P/1981 A1, 1981 XVI, 1981a, 1974 XIV, 1975g	Comet	
coma.78p	78P/1973 S1 (Gehrels 2)	1989 XVII, 1989n, 78P/1981 L1, 1981 XVII, 1981f, 1973 XI, 1973n	Comet	
coma.79p	79P/1945 G1 (du Toit-Hartley 1)	1987 IX, 1986q, 1982 II, 79P/1982 C1-A, 1982b, 1945 II, 1945c	Comet	
coma.79p--a	79P/1945 G1-A (du Toit-Hartley 1-A)		Comet	
coma.79p--b	79P/1945 G1-B (du Toit-Hartley 1-B)		Comet	
coma.80p	80P/1982 N1 (Peters-Hartley 1)	1990 IX, 1990d, 1982 III, 1982h, 80P/1846 M1, 1846 VI	Comet	
coma.81p	81P/1978 A2 (Wild 2)	1990 XXVIII, 1989t, 81P/1983 S1, 1984 XIV, 1983s, 1978 XI, 1978b	Comet	
coma.82p	82P/1975 U1 (Gehrels 3)	1993 XIV, 1992v, 82P/1984 P1, 1985 IV 1984l, 1977 VII, 1975o	Comet	
coma.83d	83D/1979 M2 (Russell 1)	83D/1985 G1, 1985 IX, 1985b, 1979 V, 1979d	Comet	
coma.84p	84P/1978 R2 (Giclas 1)	1992 XXV, 1992l, 84P/1985 M1, 1985 XV, 1985g, 1978 XXII, 1978k	Comet	
coma.85d	85D/1975 A1 (Boethin 1)	85P/Boethin, 85P/1985 T2, 1986 I, 1985n, 85P/1975 A1, 1975 I, 1975a	Comet	
coma.86p	86P/1980 G1 (Wild 3)	1994 XXI, 1994b, 86P/1987 B3, 1987 XX, 1987e, 1980 VII, 1980d	Comet	
coma.87p	87P/1981 E1 (Bus 1)	1994 XVI, 1993b, 87P/1987 B4, 1987 XXXIV, 1987f, 1981 XI, 1981b	Comet	
coma.88p	88P/1981 Q1 (Howell 1)	1993 II, 1992c, 88P/1987 E1, 1987 VI, 1987h, 1981 X, 1981k	Comet	
coma.89p	89P/1980 S1 (Russell 2)	1994 XXIX, 1994e, 89P/1987 N1, 1987 XI, 1987q, 1980 III, 1980o	Comet	
coma.90p	90P/1972 T1 (Gehrels 1)	90P/1987 Q2, 1987 XVI, 1987v, 1973 I, 1972k	Comet	
coma.91p	91P/1983 L1 (Russell 3)	91P/1989 A4, 1990 VII, 1989d, 1982 IX, 1983i	Comet	
coma.92p	92P/1977 T2 (Sanguin 1)	92P/1989 J1, 1990 IV, 1989z, 1977 XII, 1977p	Comet	
coma.93p	93P/1980 X1 (Lovas 1)	93P/1989 N2, 1989 XIII, 1989p, 1980 V, 1980s	Comet	
coma.94p	94P/1984 E1 (Russell 4)	94P/1989 X2, 1990 XI, 1989g1, 1984 I, 1984d	Comet	
coma.95p	95P/1977 UB (Chiron) [(2060) Chiron]	2060Chiron	Comet; Asteroid	
coma.96p	96P/1986 J2 (Machholz 1)	1991 XII, 1986 VIII, 1986e	Comet	
coma.97p	97P/1906 V2 (Metcalf-Brewington 1)	97P/1991 A1, 1991 I, 1991a, 1906 VI, 1906h	Comet	
coma.98p	98P/1984 O1 (Takamizawa 1)	98P/1991 D1, 1991 XIII, 1991h, 1984 VII, 1984j	Comet	
coma.99p	99P/1977 H2 (Kowal 1)	99P/1991 D2, 1992 VI, 1991i, 1977 III, 1977f	Comet	
coma.100p	100P/1985 L1 (Hartley 1)	100P/1991 E1, 1991 VII, 1991j, 1985 VII, 1985f	Comet	
coma.101p	101P/1977 Q1 (Chernykh 1)	101P/1991 L1, 1992 II, 1991o, 1978 IV, 1977l	Comet	
coma.101p--b	101P/1977 Q1-B (Chernykh 1-B)		Comet	
coma.102p	102P/1984 S2 (Shoemaker 1)	102P/1991 L2, 1991 XXIII, 1991p, 1984 XVI, 1984q	Comet	
coma.103p	103P/1986 E2 (Hartley 2)	103P/1991 N1, 1991 XV, 1991t, 1985 V, 1986c	Comet	
coma.104p	104P/1979 B1 (Kowal 2)	104P/1991 X1, 1991 XX, 1991f1, 1979 II, 1979a	Comet	
coma.105p	105P/1986 J1 (Singer Brewster 1)	105P/1992 G1, 1992 XXVI, 1992e, 1986 XI, 1986d	Comet	
coma.106p	106P/1977 T1 (Schuster 1)	106P/1992 O1, 1992 XXIV, 1992n, 1978 I, 1977o	Comet	
coma.107p	107P/1949 W1 (Wilson-Harrington 1) [(4015) Wilson-Harrington]	1979 VA	Comet; Asteroid	
coma.108p	108P/1985 V1 (Ciffreo 1)	108P/1992 S1, 1993 I, 1992s, 1985 XVI, 1985p	Comet	
coma.109p	109P/1862 O1 (Swift-Tuttle 1)	109P/1992 S2, 1992 XXVIII, 1992t, 1862 III, 109P/1737 N1, 1737 II, 109P/ 188 O1, 109P/ -68 Q1	Comet	
coma.110p	110P/1988 D1 (Hartley 3)	110P/1993 M1, 1994 XII, 1993m, 1987 XII, 1988d	Comet	
coma.111p	111P/1989 A2 (Helin-Roman-Crockett 1)	1988 XIII, 1989b	Comet	
coma.112p	112P/1986 UD (Urata-Niijima 1)	112P/1993 U1, 1993 XII, 1993q, 1986 XVI, 1986o	Comet	
coma.113p	113P/1890 W1 (Spitaler 1)	113P/1993 U2, 1994 III, 1993r, 1890 VII, 1890f	Comet	
coma.114p	114P/1986 Y1 (Wiseman-Skiff 1)	114P/1993 X2, 1993 IX, 1993u, 1986 XV, 1987b	Comet	
coma.115p	115P/1985 Q1 (Maury 1)	115P/1994 J1, 1994 VIII, 1994h, 1985 VI, 1985k	Comet	
coma.116p	116P/1990 B1 (Wild 4)	116P/1994 V1, 1994v, 1990 X, 1990a	Comet	
coma.117p	117P/1989 T2 (Helin-Roman-Alu 1)	1987 XXXVII, 1989w	Comet	
coma.118p	118P/1991 C2 (Shoemaker-Levy 4)	118P/1995 M1, 1990 XII, 1991f	Comet	
coma.119p	119P/1989 E1 (Parker-Hartley 1)	119P/1995 M2, 1987 XXXVI, 1989i	Comet	
coma.120p	120P/1987 U2 (Mueller 1)	120P/1995 O2, 1987 XXXI, 1987a1	Comet	
coma.121p	121P/1989 E2 (Shoemaker-Holt 2)	121P/1995 Q3, 1988 XI, 1989j	Comet	
coma.122p	122P/1846 D1 (de Vico 1)	122P/1995 S1, 1846 IV	Comet	
coma.123p	123P/1989 E3 (West-Hartley 1)	123P/1995 S2, 1988 XVI, 1989k	Comet	
coma.124p	124P/1991 F1 (Mrkos 1)	124P/1995 S3, 1991 IV, 1991k	Comet	
coma.125p	125P/1991 R2 (Spacewatch 1)	125P/1996 F1, 1990 XXIX, 1991x	Comet	
coma.126p	126P/1983 M1 (IRAS 1)	126P/1996 P1, 1983 XIV, 1983j	Comet	
coma.127p	127P/1990 R2 (Holt-Olmstead 1)	127P/1996 S1, 1990 XVIII, 1990k	Comet	
coma.128p	128P/1987 U1 (Shoemaker-Holt 1)	1988 VII, 1996 S2	Comet	
coma.128p--a	128P/1987 U1-A (Shoemaker-Holt 1-A)		Comet	
coma.128p--b	128P/1987 U1-B (Shoemaker-Holt 1-B)	128P-B/1987 U1	Comet	
coma.129p	129P/1991 C1 (Shoemaker-Levy 3)	129P/1996 U1, 1990 XXVII, 1991e	Comet	
coma.130p	130P/1991 S1 (McNaught-Hughes 1)	130P/1997 H1, 1991 IX, 1991y	Comet	
coma.131p	131P/1990 R1 (Mueller 2)	131P/1997 M2, 1990 XXIV, 1990j	Comet	
coma.132p	132P/1989 U1 (Helin-Roman-Alu 2)	132P/1997 N2, 1989 XVI, 1989y	Comet	
coma.133p	133P/1996 N2 (Elst-Pizarro 1) [(7968) Elst-Pizarro]	1979 OW7	Comet; Asteroid	
coma.134p	134P/1983 J3 (Kowal-Vavrova 1)	134P/1997 X2, 1983 III, 1983t	Comet	
coma.135p	135P/1992 G2 (Shoemaker-Levy 8)	135P/1998 B1, 1992 XV, 1992f	Comet	
coma.136p	136P/1990 S1 (Mueller 3)	136P/1998 K4, 1990 XIII, 1990l	Comet	
coma.137p	137P/1990 UL3 (Shoemaker-Levy 2)	137P/1998 K6, 1990 XVI, 1990p	Comet	
coma.138p	138P/1991 V2 (Shoemaker-Levy 7)	138P/1998 O1, 1991 XIX, 1991d1	Comet	
coma.139p	139P/1939 TN (Vaisala-Oterma 1)	139P/1998 WG22	Comet	
coma.140p	140P/1983 C1 (Bowell-Skiff 1)	140P/1998 X2, 1983 II, 1983c	Comet	
coma.141p--a	141P/1994 P1-A (Machholz 2-A)	141P/1994 P1, 141P-A/1999 P1, 141P-A/1994 P1-A	Comet	
coma.141p--d	141P/1994 P1-D (Machholz 2-D)	141P-D/1994 P1-D	Comet	
coma.142p	142P/1988 V1 (Ge-Wang 1)	142P/1999 R2, 1988 VIII, 1988o	Comet	
coma.143p	143P/1984 H1 (Kowal-Mrkos 1)	143P/2000 ET90, 1984 X, 1984n	Comet	
coma.144p	144P/1994 A1 (Kushida 1)	144P/2000 O2, 1993 XX, 1994a	Comet	
coma.145p	145P/1991 T1 (Shoemaker-Levy 5)	145P/2000 R1, 1991 XXII, 1991z	Comet	
coma.146p	146P/1984 W1 (Shoemaker-LINEAR 1)	146P/2000 S2, 1984 XVIII, 1984u	Comet	
coma.147p	147P/1993 X1 (Kushida-Muramatsu 1)	147P/2000 T2, 1993 XIX, 1993t	Comet	
coma.148p	148P/1963 W1 (Anderson-LINEAR 1)		Comet	
coma.149p	149P/1992 G3 (Mueller 4)	1992 IV, 1992g	Comet	
coma.150p	150P/2000 WT168 (LONEOS 3)		Comet	
coma.151p	151P/1987 Q3 (Helin 1)	151P/2001 M1, 1987 XVII, 1987w	Comet	
coma.152p	152P/1993 K2 (Helin-Lawrence 1)	152P/2001 Y1, 1993 XI, 1993l	Comet	
coma.153p	153P/2002 C1 (Ikeya-Zhang 1)		Comet	
coma.154p	154P/1992 Q1 (Brewington 1)	154P/2002 Q4, 1992 XIV, 1992p	Comet	
coma.155p	155P/1986 A1 (Shoemaker 3)	155P/2002 R2, 1985 XVIII, 1986a	Comet	
coma.156p	156P/2000 QD181 (Russell-LINEAR 1)	156P/1993 WU, 156P/1986 R1	Comet	
coma.157p	157P/1978 C2 (Tritton 1)	157P/2003 T1, 1977 XIII, 1978d	Comet	
coma.158p	158P/2001 RG100 (Kowal-LINEAR 1)	158P/1979 O1, 1979h	Comet	
coma.159p	159P/2003 UD16 (LONEOS 7)		Comet	
coma.160p	160P/2004 NL21 (LINEAR 43)		Comet	
coma.161p	161P/1983 V1 (Hartley-IRAS 1)	161P/2004 V2, 1984 III, 1983v	Comet	
coma.162p	162P/2004 TU12 (Siding Spring 2)		Comet	
coma.163p	163P/2004 V4 (NEAT 21)		Comet	
coma.164p	164P/2004 Y1 (Christensen 2)		Comet	
coma.165p	165P/2000 B4 (LINEAR 10)		Comet	
coma.166p	166P/2001 T4 (NEAT 8)		Comet	
coma.167p	167P/2004 PY42 (CINEOS 1)		Comet	
coma.168p	168P/1998 W2 (Hergenrother 1)	168P/2005 N2	Comet	
coma.169p	169P/2002 EX12 (NEAT 22)		Comet	
coma.170p	170P/2005 M1 (Christensen 4)		Comet	
coma.171p	171P/1998 W1 (Spahr 2)	171P/2005 R3	Comet	
coma.172p	172P/2002 BV (Yeung 1)	172P/2001 CB40	Comet	
coma.173p	173P/1993 W1 (Mueller 5)	173P/2005 T1, 1994 XXV, 1993s	Comet	
coma.174p	174P/2000 EC98 (Echeclus) [(60558) Echeclus]	2002 GJ27	Comet; Asteroid	
coma.175p	175P/2000 C1 (Hergenrother 2)	175P/2006 A3	Comet	
coma.176p	176P/1999 RE70 (LINEAR 52) [(118401) LINEAR]	2001 AR7	Comet; Asteroid	
coma.177p	177P/1889 M1 (Barnard 2)	177P/2006 M3	Comet	
coma.178p	178P/1999 X1 (Hug-Bell 1)	178P/2006 O1	Comet	
coma.179p	179P/1995 A1 (Jedicke 1)	179P/2006 U2	Comet	
coma.180p	180P/2001 K1 (NEAT 3)	180P/2006 U3	Comet	
coma.181p	181P/1991 V1 (Shoemaker-Levy 6)	181P/2006 U4, 1991 XVIII, 1991b1	Comet	
coma.182p	182P/2001 WF2 (LONEOS 6)	182P/2006 W2	Comet	
coma.183p	183P/1999 DN3 (Korlevic-Juric 1)	183P/2006 Y1	Comet	
coma.184p	184P/1986 W1 (Lovas 2)	184P/2007 A1, 1986 XIII, 1986p	Comet	
coma.185p	185P/2001 Q2 (Petriew 1)	185P/2007 A3	Comet	
coma.186p	186P/2007 B3 (Garradd 1)	186P/1977 O1	Comet	
coma.187p	187P/1999 J5 (LINEAR 4)	187P/2007 E3	Comet	
coma.188p	188P/1998 S1 (LINEAR-Mueller 1)	188P/2007 J7	Comet	
coma.189p	189P/2002 O5 (NEAT 10)	189P/2007 N2	Comet	
coma.190p	190P/1998 U2 (Mueller 6)	190P/2007 O2	Comet	
coma.191p	191P/2007 N1 (McNaught 11)	191P/2000 P3	Comet	
coma.192p	192P/1990 V1 (Shoemaker-Levy 1)	192P/2007 T3, 1990 XV, 1990o	Comet	
coma.193p	193P/2001 Q5 (LINEAR-NEAT 2)	193P/2007 U2	Comet	
coma.194p	194P/2000 B3 (LINEAR 9)	194P/2007 W2	Comet	
coma.195p	195P/2006 W4 (Hill 3)	195P/1993 D1	Comet	
coma.196p	196P/2000 U6 (Tichy 1)	196P/2008 C2	Comet	
coma.197p	197P/2003 KV2 (LINEAR 30)	197P/2008 E2	Comet	
coma.198p	198P/1998 X1 (ODAS 1)	198P/2006 B7	Comet	
coma.199p	199P/1994 J3 (Shoemaker 4)	199P/2008 G2, 1994 XXVIII, 1994k	Comet	
coma.200p	200P/1997 V1 (Larsen 1)	200P/2008 L1	Comet	
coma.201p	201P/2001 R1 (LONEOS 4)	201P/2008 Q4	Comet	
coma.202p	202P/2001 X2 (Scotti 2)	202P/2008 R2	Comet	
coma.203p	203P/1999 WJ7 (Korlevic 1)	203P/2008 R4	Comet	
coma.204p	204P/2001 TU80 (LINEAR-NEAT 3)	204P/2008 R5	Comet	
coma.205p	205P/1896 R2 (Giacobini 1)	205P/2008 R6	Comet	
coma.205p--a	205P/1896 R2-A (Giacobini 1-A)		Comet	
coma.205p--b	205P/1896 R2-B (Giacobini 1-B)		Comet	
coma.205p--c	205P/1896 R2-C (Giacobini 1-C)		Comet	
coma.206p	206P/1892 T1 (Barnard-Boattini 1)	206P/2008 T3	Comet	
coma.207p	207P/2001 J1 (NEAT 4)	207P/2008 T5	Comet	
coma.208p	208P/2008 U1 (McMillan 1)	208P/2000 S7	Comet	
coma.209p	209P/2004 CB (LINEAR 41)	209P/2008 X2	Comet	
coma.210p	210P/2003 K2 (Christensen 1)	210P/2008 X4	Comet	
coma.211p	211P/2008 X1 (Hill 7)	211P/2003 F6	Comet	
coma.212p	212P/2000 YN30 (NEAT 24)		Comet	
coma.213p	213P/2005 R2 (Van Ness 2)	213P/2009 B3	Comet	
coma.213p--b	213P/2005 R2-B (Van Ness 2-B)		Comet	
coma.214p	214P/2002 CW134 (LINEAR 22)	214P/2009 B4	Comet	
coma.215p	215P/2002 O8 (NEAT 11)	215P/2009 B5	Comet	
coma.216p	216P/2001 CV8 (LINEAR 16)	216P/2009 D1	Comet	
coma.217p	217P/2001 MD7 (LINEAR 17)	217P/2009 F3	Comet	
coma.218p	218P/2003 H4 (LINEAR 29)	218P/2009 F7	Comet	
coma.219p	219P/2002 LZ11 (LINEAR 38)	219P/2009 H1	Comet	
coma.220p	220P/2004 K2 (McNaught 1)	220P/2009 H2	Comet	
coma.221p	221P/2002 JN16 (LINEAR 25)	221P/2009 L1	Comet	
coma.222p	222P/2004 X1 (LINEAR 46)	222P/2009 MB9	Comet	
coma.223p	223P/2002 S1 (Skiff 2)	223P/2009 L18	Comet	
coma.224p	224P/2003 XD10 (LINEAR-NEAT 5)	224P/2009 Q2	Comet	
coma.225p	225P/2002 T1 (LINEAR 26)	225P/2009 Q3	Comet	
coma.226p	226P/2003 A1 (Pigott-LINEAR-Kowalski 1)	226P/2009 R2, 226P/1783 W1	Comet	
coma.227p	227P/2004 EW38 (Catalina-LINEAR 1)	227P/2009 S4	Comet	
coma.228p	228P/2001 YX127 (LINEAR 21)	228P/2009 U2	Comet	
coma.229p	229P/2009 S1 (Gibbs 10)	229P/2001 Q10	Comet	
coma.230p	230P/2009 U6 (LINEAR 57)	230P/2002 Q15, 230P/1997 A2	Comet	
coma.231p	231P/2003 CP7 (LINEAR-NEAT 4)	231P/2009 X1	Comet	
coma.232p	232P/2009 W1 (Hill 10)	232P/1999 XO188	Comet	
coma.233p	233P/2009 WJ50 (La Sagra 3)	233P/2005 JR71	Comet	
coma.234p	234P/2002 CF140 (LINEAR 60)	234P/2010 E4	Comet	
coma.235p	235P/2002 FA9 (LINEAR 61)	235P/2010 F2	Comet	
coma.236p	236P/2003 UY275 (LINEAR 39)	236P/2010 K1	Comet	
coma.237p	237P/2002 LN13 (LINEAR 62)	237P/2010 L2	Comet	
coma.238p	238P/2005 U1 (Read 3)	238P/2010 N2	Comet	
coma.239p	239P/1999 XB69 (LINEAR 11)	239P/2010 C2	Comet	
coma.240p	240P/2002 X2 (NEAT 12)	240P/2010 P1	Comet	
coma.241p	241P/1999 U3 (LINEAR 7)	241P/2010 P2	Comet	
coma.242p	242P/1998 U4 (Spahr 1)	242P/2010 P3	Comet	
coma.243p	243P/2003 S2 (NEAT 17)	243P/2010 P5	Comet	
coma.244p	244P/2000 Y3 (Scotti 1)	244P/2010 Q1	Comet	
coma.245p	245P/2010 L1 (WISE 5)	245P/2002 Q16	Comet	
coma.246p	246P/2004 F3 (NEAT 20)	246P/2010 V2	Comet	
coma.247p	247P/2002 VP94 (LINEAR 63)	247P/2010 V3	Comet	
coma.248p	248P/2010 W1 (Gibbs 11)	248P/2010 TL69, 248P/1996 TT65	Comet	
coma.249p	249P/2006 U1 (LINEAR 53)	249P/2011 A4	Comet	
coma.250p	250P/2011 A1 (Larson 4)		Comet	
coma.251p	251P/2004 HC18 (LINEAR 42)	251P/2011 J1	Comet	
coma.252p	252P/2000 G1 (LINEAR 12)	252P/2011 L5	Comet	
coma.253p	253P/2011 R2 (PanSTARRS 3)	253P/1998 RS22	Comet	
coma.254p	254P/2010 T1 (McNaught 19)		Comet	
coma.255p	255P/2006 T1 (Levy 2)	255P/2011 Y1, PK06T010	Comet	
coma.256p	256P/2003 HT15 (LINEAR 31)	256P/2012 B2	Comet	
coma.257p	257P/2005 JY126 (Catalina 4)	257P/2012 F4	Comet	
coma.258p	258P/2012 H1 (PanSTARRS 10)		Comet	
coma.259p	259P/2008 R1 (Garradd 4)		Comet	
coma.260p	260P/2005 K3 (McNaught 4)	260P/2012 K2	Comet	
coma.261p	261P/2005 N3 (Larson 1)	261P/2012 K4	Comet	
coma.262p	262P/1994 X1 (McNaught-Russell 1)	262P/2012 K7, 1994 XXIV, 1994u	Comet	
coma.263p	263P/2006 Y2 (Gibbs 3)	263P/2012 K9	Comet	
coma.264p	264P/2004 H3 (Larsen 4)	264P/2012 L4	Comet	
coma.265p	265P/2003 O2 (LINEAR 32)	265P/2012 M1	Comet	
coma.266p	266P/2006 U5 (Christensen 12)	266P/2012 P1	Comet	
coma.267p	267P/2006 Q2 (LONEOS 12)	267P/2012 R1	Comet	
coma.268p	268P/2005 V1 (Bernardi 1)	268P/2012 P2	Comet	
coma.269p	269P/1996 A1 (Jedicke 2)	269P/2012 R2	Comet	
coma.270p	270P/1997 C1 (Gehrels 4)	270P/2012 S5	Comet	
coma.271p	271P/1960 S1 (van Houten-Lemmon 1)	1961 X, 271P/2012 TB36	Comet	
coma.272p	272P/2004 F1 (NEAT 19)	272P/2012 V3	Comet	
coma.273p	273P/1827 M1 (Pons-Gambart 1)	273P/2012 V4	Comet	
coma.274p	274P/2012 WX32 (Tombaugh-Tenagra 1)	274P/2003 WZ141, 274P/1931 AN	Comet	
coma.275p	275P/1999 D1 (Hermann 1)	275P/2012 Y2	Comet	
coma.276p	276P/2012 T7 (Vorobjov 1)		Comet	
coma.277p	277P/2005 YQ127 (LINEAR 51)	277P/2013 A3	Comet	
coma.278p	278P/2006 K2 (McNaught 9)	278P/2013 B1	Comet	
coma.279p	279P/2009 QG31 (La Sagra 1)		Comet	
coma.280p	280P/2004 H2 (Larsen 3)	280P/2013 C1	Comet	
coma.281p	281P/2013 CE31 (MOSS 1)		Comet	
coma.282p	282P/2003 BM80 [(323137)]	282P/2003 FV112	Comet; Asteroid	
coma.283p	283P/2013 EV9 (Spacewatch 6)		Comet	
coma.284p	284P/2007 H1 (McNaught 10)	284P/2013 J1	Comet	
coma.285p	285P/2003 U2 (LINEAR 36)	285P/2013 K2	Comet	
coma.286p	286P/2005 L4 (Christensen 3)	286P/2013 K3	Comet	
coma.287p	287P/2006 R2 (Christensen 9)	287P/2013 L1	Comet	
coma.288p	288P/2006 VW139 [(300163)]		Comet; Asteroid	
coma.289p	289P/1819 W1 (Blanpain 1)	289P/2003 WY25	Comet	
coma.290p	290P/1998 U3 (Jager 1)	290P/2013 N1	Comet	
coma.291p	291P/2003 S1 (NEAT 16)	291P/2013 N2	Comet	
coma.292p	292P/1998 Y2 (Li 1)	292P/2013 O1	Comet	
coma.293p	293P/2006 XG16 (Spacewatch 4)	293P/2013 R2	Comet	
coma.294p	294P/2008 A2 (LINEAR 54)	294P/2013 X2	Comet	
coma.295p	295P/2002 AR2 (LINEAR 23)	295P/2013 Y1	Comet	
coma.296p	296P/2007 H3 (Garradd 2)	296P/2014 A1	Comet	
coma.297p	297P/2008 J2 (Beshore 1)	297P/2014 D1	Comet	
coma.298p	298P/2007 C1 (Christensen 15)	298P/2014 C4	Comet	
coma.299p	299P/2014 D2 (Catalina-PanSTARRS 2)	299P/2005 EL284	Comet	
coma.300p	300P/2005 JQ5 (Catalina 3)	300P/2014 G2	Comet	
coma.301p	301P/2001 BB50 (LINEAR-NEAT 1)	301P/2014 K1	Comet	
